lp,Imie I nazwisko,lista,data urodzenia,Zawód,dom powierzchnia,dom wartosc,Mieszkanie lub dom 1 powierzchnia,Mieszkanie lub dom 1 wartosc,Mieszkanie 2 powierzchnia,Mieszkanie 2 wartosc,Mieszkanie 3 powierzchnia,Mieszkanie 3 wartosc,Mieszkanie 4 powierzchnia,Mieszkanie 4 wartosc,Mieszkanie 5 powierzchnia,Mieszkanie 5 wartosc,suma wartosci wszystkich domow lub mieszkan,suma powierzchni,cena za metr
20,Paweł Bliźniuk,Koalicja Obywatelska,11-10-1986,pracownik administracji samorządowej,,,39,110000,,,,,,,,,110000,39,2820.5
21,Mariusz Błaszczak,Prawo i Sprawiedliwość,19-09-1969,"urzędnik państwowy
",155.78,850000,49.23,300000,58,650000,,,,,,,1800000,263.01,6843.8
22,Mateusz Bochenek,Koalicja Obywatelska,12-03-1993,parlamentarzysta,,,,,,,,,,,,,0,0,#DIV/0!
23,Rafał Bochenek,Prawo i Sprawiedliwość,14-08-1986,prawnik,,,,,,,,,,,,,0,0,#DIV/0!
24,Izabela Bodnar,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,13-02-1975,ekonomista,250,3500000,,,,,,,,,,,3500000,250,14000.0
25,Jacek Bogucki,Prawo i Sprawiedliwość,13-02-1959,"inżynier mechanik
",356,700000,,,,,,,,,,,700000,356,1966.3
26,Zbigniew Bogucki,Prawo i Sprawiedliwość,26-01-1980,adwokat,78.66,786600,57.62,576200,34.93,330000,60.7,460000,,,,,2152800,231.91,9282.9
27,Krzysztof Bojarski,Koalicja Obywatelska,11-07-1968,lekarz,,,,,,,,,,,,,0,0,#DIV/0!
28,Joanna Borowiak,Prawo i Sprawiedliwość,20-08-1967,"nauczyciel, nauczyciel akademicki",150,550000,41.13,330000,,,,,,,,,880000,191.13,4604.2
29,Kamil Bortniczuk,Prawo i Sprawiedliwość,11-06-1983,"menedżer, prawnik, urzędnik państwowy",200,900000,74,1000000,,,,,,,,,1900000,274,6934.3
30,Piotr Borys,Koalicja Obywatelska,11-01-1976,prawnik,220,750000,,,,,,,,,,,750000,220,3409.1
31,Bożena Borys-Szopa,Prawo i Sprawiedliwość,11-03-1954,prawnik,76.4,300000,61.7,200000,,,,,,,,,500000,138.1,3620.6
32,Marcin Bosacki,Koalicja Obywatelska,05-11-1970,,230,1800000,74,750000,59.4,630000,,,,,,,3180000,363.4,8750.7
33,Karina Anna Bosak,Konfederacja Wolność i Niepodległość,08-07-1988,adwokat,57,,,,,,,,,,,,0,57,0.0
34,Krzysztof Bosak,Konfederacja Wolność i Niepodległość,13-06-1982,parlamentarzysta,,,,,,,,,,,,,0,0,#DIV/0!
35,Grzegorz Braun,Konfederacja Wolność i Niepodległość,11-03-1967,"publicysta, reżyser",,,,,,,,,,,,,0,0,#DIV/0!
36,Krzysztof Brejza,Koalicja Obywatelska,16-05-1983,prawnik,,,,,,,,,,,,,0,0,#DIV/0!
37,Agnieszka Buczyńska,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,22-09-1986,"politolog, socjolog",210,1700000,,,,,,,,,,,1700000,210,8095.2
38,Waldemar Buda,Prawo i Sprawiedliwość,21-09-1982,radca prawny,147,600000,54,250000,,,,,,,,,850000,201,4228.9
39,Borys Budka,Koalicja Obywatelska,11-03-1978,"nauczyciel akademicki, radca prawny",291,800000,165,408000,75,160000,,,,,,,1368000,531,2576.3
40,Elżbieta Burkiewicz,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,17-10-1964,przedsiębiorca prywatny,156,1200000,66,950000,,,,,,,,,2150000,222,9684.7
41,Marek Jan Chmielewski,Koalicja Obywatelska,06-05-1962,technolog żywności,218,600000,45.75,180000,52.4,200000,58.21,265000,,,,,1245000,374.36,3325.7
42,Zbigniew Chmielowiec,Prawo i Sprawiedliwość,22-09-1954,inżynier inżynierii środowiska,120,340000,,,,,,,,,,,340000,120,2833.3
43,Artur Chojecki,Prawo i Sprawiedliwość,19-04-1974,urzędnik państwowy ,,,56.5,450000,,,,,,,,,450000,56.5,7964.6
44,Kazimierz Bogusław Choma,Prawo i Sprawiedliwość,16-12-1957,zarządzanie zasobami ludzkimi,,,87.9,450000,,,,,,,,,450000,87.9,5119.5
45,Dominika Chorosińska,Prawo i Sprawiedliwość,29-12-1978,aktorka,,,92,600000,42,300000,,,,,,,900000,134,6716.4
46,Tadeusz Chrzan,Prawo i Sprawiedliwość,14-09-1963,geodeta,,,,,,,,,,,,,0,0,#DIV/0!
47,Alicja Chybicka,Koalicja Obywatelska,10-05-1951,lekarz,130,1000000,23,160000,50,250000,,,,,,,1410000,203,6945.8
48,Anna Ewa Cicholska,Prawo i Sprawiedliwość,07-02-1962,nauczyciel,110,360000,,,,,,,,,,,360000,110,3272.7
49,Janusz Cichoń,Koalicja Obywatelska,07-01-1957,"emeryt, nauczyciel akademicki",170,500000,,,,,,,,,,,500000,170,2941.2
50,Krzysztof Ciecióra,Prawo i Sprawiedliwość,27-06-1989,,,,75.25,300000,,,,,,,,,300000,75.25,3986.7
51,Janusz Cieszyński,Prawo i Sprawiedliwość,06-05-1988,menedżer,,,74.19,1100000,,,,,,,,,1100000,74.19,14826.8
52,Michał Cieślak,Prawo i Sprawiedliwość,09-12-1974,ekonomista,90,150000,31,100000,43,250000,,,,,,,500000,164,3048.8
53,Żaneta Cwalina-Śliwowska,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,10-12-1978,"pedagog, trener",160,800000,110,1000000,,,,,,,,,1800000,270,6666.7
